area,name,address,phoneNumber,businessHours,classification,note,price,subTitle,naverlink,url1,url2,
한림/협재,협재해수욕장,제주 제주시 한림읍 협재리 2497-1,064-728-3981,,바다,,무료,에메랄드빛 바다와 백사장이 아름다운 곳,http://naver.me/FmOwS3pO,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200229_126%2F1582909660415raR5g_JPEG%2Fzbz476xQvvB4womCCEGDyaRi.jpg,https://api.cdn.visitjeju.net/photomng/imgpath/201911/29/f016c352-37b9-4510-8060-983d7f59ff91.jpg,
한림/협재,한림공원,주소  제주특별자치도 제주시 한림로 300,064-769-0001,오전 8:30~오후 7:00,공원,,"일반 12,000원 청소년 8,000원 어린이 7,000원, 경로자,장애인 10,000원",10만 평 대지 위에 펼쳐지는 환상적인 10가지 테마파크,http://naver.me/5zv877uS,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220617_234%2F1655447648556WdrLl_JPEG%2F%25BC%25F6%25B1%25B9%25C3%25E0%25C1%25A6_5.jpg,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220523_196%2F1653271079265iLlzW_JPEG%2F%25BA%25CE%25B0%25D5%25BA%25F4%25B7%25B9%25BE%25C6_%252815%2529.jpg,
한림/협재,금능해수욕장,제주 제주시 한림읍 금능리,064-728-3983,,바다,,무료,사람이 적어 여유로운 바다 풍경을 누릴 수 있는 곳,https://naver.me/I5FcjrQh,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200229_68%2F1582909264425bhjsN_JPEG%2FPNMaDI7V1kIXW656-xRlkbBP.jpg,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200229_285%2F1582909286978Xo5zS_JPEG%2FN_gGs5o7fPU0WnbeFY_yQ7ee.jpg,
한림/협재,제주맥주,제주 제주시 한림읍 금능농공길 62-11,064-798-9872,"매일 12:30 ~ 19:30
펍 13:00 ~ 19:00",체험,,무료,제주 맥주의 양조장을 투어하며 맥주를 마실 수 있는 곳,https://jejubeer.co.kr/brewery,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210305_87%2F1614916166023FL19X_PNG%2FZEMZ650VIiYyexeTuiioIQYO.png,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210305_299%2F1614916232624NiT3t_PNG%2FiqnxrV0Am5xgbUkM8u-6HDC5.PNG.png,
한림/협재,더마파크,제주 제주시 한림읍 월림7길 155 더마파크,064-795-8080,09:00~17:00,테마파크,,"단거리 12,000원, 장거리 30,000원(운행 중지), 정통 레슨 100,000원, 승마공연 성인 20,000원, 중고생 18,000원, 어린이 15,000원","승마체험, 카드라이더, 기마공연을 누릴 수 있는 말전문 테마공원",https://naver.me/GGhUhjJi,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190404_147%2F1554355078321aLEGG_JPEG%2F7G5A5662.jpg,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220720_132%2F1658291856480a9Vdj_JPEG%2F7G5A8654.JPG,
애월,새별오름,제주 제주시 애월읍 봉성리 산59-8,064-728-2752,연중무휴(산불예방 입산통제기간 없음),오름,,무료,억새가 아름답고 정상에서 아름다운 해변과 비양도를 볼 수 있는 오름,https://naver.me/52lh9pLE,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191209_220%2F1575882599201lOJp1_JPEG%2FB_kSdQxiCVedhyrm_RJH703z.jpeg.jpg,https://api.cdn.visitjeju.net/photomng/imgpath/201908/13/3f4bf726-797f-4647-b40a-7462c01065b2.jpg,
애월,9.81파크,제주 제주시 애월읍 천덕로 880-24,1833-9810,"09:00~18:30 
토요일은 20:00까지",테마파크,,"9시 한정 레이싱하고놀랩 29,500원
981 풀패키지 49,500원
아이와함께 풀패키지 79,500원
1인승 레이싱 3회(APP only) 39,500원
2인승 레이싱 2회(APP only 37,500원
스포츠랩(APP only) 3,500원
아레나(APP only) 9,000원
링고 범퍼카(APP only) 5,000원",애월 바다와 한라산 사이에서 즐기는 카드라이더,https://naver.me/FcIeBxKC,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200430_162%2F1588217173765HCmkY_JPEG%2Fnu2HLkvhMmxF91rmh5MiFyIV.jpg,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200601_294%2F1591002124792K5MQx_JPEG%2F%25B3%25D7%25C0%25CC%25B9%25F6%25B4%25DC%25B5%25B6%25C6%25D0%25C5%25B0%25C1%25F6_%25BD%25E6%25B3%25D7%25C0%25CF_04.jpg,
애월,곽지해수욕장,제주 제주시 애월읍 곽지리,064-728-3985,해수욕장 개장일 상이,바다,,무료,"시원한 용천수를 뿜어내는 노천탕이 있는 해변
",https://naver.me/FfMWZAZl,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190129_4%2F15487461134726PRpq_JPEG%2F147089252710461.jpg,https://api.cdn.visitjeju.net/photomng/imgpath/202007/07/4e85bea8-017d-4ea0-95f0-216008da01d8.JPG,
애월,사진놀이터,제주 제주시 애월읍 평화로 2835 사진놀이터,0507-1313-7258,09:30~18:00,테마파크,,"성인
10,000원
청소년
8,000원
어린이
6,000원",100가지 컨셉으로 나만의 인생사진 찍기,https://naver.me/x50l0H9N,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201117_154%2F16055815148591KTBF_JPEG%2FkOnvzYXKuwIgVG9cuMISJ4tp.jpg,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200517_112%2F1589712828523nL7WJ_JPEG%2F-dvdtpYbdOOac8XNDbixkcrm.jpg,
제주시,한라수목원,제주 제주시 수목원길 72,064-710-7575,"09:00~17:00 (동절기)
09:00~18:00 (하절기)","식물원, 수목원",,무료,숲이 주는 상쾌한 느낌을 만끽하는 도심 속 공원,https://naver.me/xRQ0yESk,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_145%2F1441003988325efrEy_JPEG%2F11607760_0.jpg,https://api.cdn.visitjeju.net/photomng/imgpath/202111/10/e2a94e16-efd1-45d0-9a47-cb9f50dfadb9.JPG,
