area,name,address,phoneNumber,businessHours,price,servingSize,classification,note,Subtitle,naverlink,url1,url2,
제주시,소랑드르,제주 제주시 조천읍 비자림로 666,064-783-9846,"11:00~17:00
브레이크타임 : 무
라스트오더 : 16:00","13,000",가능,한식,,이태리짬뽕과 돈가스가 맛있는 퓨전 요리 식당,"https://map.naver.com/v5/entry/place/125159529?c=14099809.7500099,3953408.6489009,13,0,0,0,dh&placePath=%2Fhome",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210827_73%2F1630039716072SP1Ci_JPEG%2FLdu9TNgwhtmGb4CUVPawnkij.jpg,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210827_220%2F1630039716693MCTpo_JPEG%2F97VAeAi1Ua1RXRmo3EEnwMty.jpg,
애월,소길역,제주 제주시 애월읍 소길2길 53,010-4197-6763,"매일
11:30 - 21:00
14:00 - 17:30 브레이크타임
13:00, 20:00 라스트오더
매월 1,2/,11,12/,21,22/31 휴무","18,000",가능,일식,,혼밥하기 좋은 스키야키 맛집,http://naver.me/GXE79LQL,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211106_252%2F1636209401119Wgzex_JPEG%2FPO2oa8UJIK-BDsu4adnRn2SE.jpg,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211106_276%2F1636209402591zlPWI_JPEG%2FrAqAyS5XxoSDgnW_P346vfNl.jpg,
한림/협재,금능상회 해물라면,제주 제주시 한림읍 금능5길 21 2층,0507-1343-2678,"토(7/16)
10:00 - 15:00
일
17:00 - 22:00
21:00 라스트오더
월
10:00 - 22:00
14:00 - 16:00 브레이크타임
21:00 라스트오더
화
10:00 - 18:00
14:00 - 16:00 브레이크타임
17:00 라스트오더
수
10:00 - 15:00
14:00 라스트오더
목
10:00 - 18:00
14:00 - 16:00 브레이크타임
17:00 라스트오더
금
10:00 - 18:00
14:00 - 16:00 브레이크타임
17:00 라스트오더","15,000",가능,한식,,금능해변뷰로 야외 테라스에서 해물라면 먹을 수 있는 집,http://naver.me/5aVth0tZ,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220713_7%2F16576491706453857D_JPEG%2FIMG_20220712_112506_814.jpg,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191227_152%2F1577423197181cOWON_JPEG%2FXD4PqN3tHtmIHwexTJ-5_Hjz.jpeg.jpg,
서귀포/중문,체면,제주 서귀포시 대정읍 단산로 95 1층,0507-1443-4422,"토
11:30 - 21:00
15:00 - 17:00 브레이크타임
14:30, 20:30 라스트오더
일
11:30 - 15:00
14:30 라스트오더
월
정기휴무 (매주 월요일)
화
11:30 - 21:00
15:00 - 17:00 브레이크타임
14:30, 20:30 라스트오더
수
11:30 - 21:00
15:00 - 17:00 브레이크타임
14:30, 20:30 라스트오더
목
11:30 - 21:00
15:00 - 17:00 브레이크타임
14:30, 20:30 라스트오더
금
11:30 - 21:00
15:00 - 17:00 브레이크타임
14:30, 20:30 라스트오더
","50,000",가능,한식,,1인 화로구이 혼밥 정식을 즐길 수 있는 곳,http://naver.me/FKKxO2RH,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170511_250%2F1494475254657DjMCI_JPEG%2F186461533073560_1.jpeg,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170511_294%2F1494475254469BoBoy_JPEG%2F186461533073560_0.jpeg,
제주시,다소니,제주 제주시 오남로6길 24,064-752-5533,"11:00~21:00
15:00~17:00 브레이크타임
라스트오더 : 20:00
매달 2,4,5번째 일요일 정기 휴무","10,000",가능,한식/차,,한옥 스타일의 가게에서 들깨수제비부터 전통차까지 누릴 수 있는 곳,https://naver.me/5dxy9rCm,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-  phinf.pstatic.net%2F20210501_138%2F1619868637418VpnCm_JPEG%2FQx4sSEjJjs8xufqYsj8K5VeP.jpeg.jpg.,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210501_213%2F1619868612601hSS2y_JPEG%2F3D7T-eBgzpob3xxuKP9DLgXT.jpeg.jpg,
제주시,미친부엌,"제주 제주시 탑동로 15 1,2층",064-721-6382,"토
17:30 - 24:00
23:00 라스트오더
일
17:30 - 24:00
23:00 라스트오더
월
정기휴무 (매주 월요일)
화
17:30 - 24:00
23:00 라스트오더
수
17:30 - 24:00
23:00 라스트오더
목
17:30 - 24:00
23:00 라스트오더
금
17:30 - 24:00
23:00 라스트오더","40,000원대",가능,일식,,혼술하기 좋은 퓨전 이자카야집,https://naver.me/xNdldJjR,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191217_98%2F1576518987370lGKMd_JPEG%2FD7Dpqa0MBbVYYcEeupQcKXJU.jpg,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191217_254%2F1576519032984QiNxg_JPEG%2FOrOiK4nrfPpIdQlEErbZ5oN-.jpg,
제주시,탭하우스더코너,제주 제주시 도령로 27 베스트웨스턴호텔 1층,064-744-2007,"토
18:00 - 새벽 01:00
일
19:00 - 새벽 01:00
월
18:00 - 새벽 01:00
화
18:00 - 새벽 01:00
수
18:00 - 새벽 01:00
목
18:00 - 새벽 01:00
금
18:00 - 새벽 01:00
접기","18,000",가능,기타,,베스트웨스턴 호털 1층에 위치한 수제 맥주 전문점,https://naver.me/5cTqQE7D,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170821_17%2F1503313942782wMuw9_JPEG%2FdoimnfuBBoAhdxXn25NgZQQ8.jpg,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170821_95%2F1503313935338RQm0U_JPEG%2FrZ-nXnwbIzQ0EqgL3oKOZA6b.jpg,
제주시,다니엘스키친,제주 제주시 삼성로9길 18-1 1층,0507-1416-3684,"토
18:00 - 22:00
일
정기휴무 (매주 일요일)
월
정기휴무 (매주 월요일)
화
18:00 - 22:00
수
18:00 - 22:00
목
18:00 - 22:00
금
18:00 - 22:00","단일 55,000",가능,일식,,"1인당 55,000원으로 즐기는 오마카세",https://naver.me/xC6JsyFn,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210826_247%2F162996269308048c1A_JPEG%2FdaItv5rhk-5oU5VC9at9bDSC.jpg,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210826_96%2F1629962707347QO8fw_JPEG%2Fmbeq_cFJRmxngC4HGZwXT-6Z.jpg,
한림/협재,두부 제주협재점,제주 제주시 한림읍 협재10길 14 두부 제주협재점,010-9686-1014,"월
정기휴무 (매주 월요일)
화
정기휴무 (매주 화요일)
수
12:00 - 22:00
21:00 라스트오더
목
12:00 - 22:00
21:00 라스트오더
금
12:00 - 22:00
21:00 라스트오더
토
12:00 - 22:00
21:00 라스트오더
일
12:00 - 22:00
21:00 라스트오더
","20,000",가능,양식,,협제해수욕장 데이트 코스로 좋은 분위기있는 양식집,https://naver.me/GJXj7jtz,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220330_196%2F1648635003239UQV11_JPEG%2F1648634945821.jpg ,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220309_286%2F1646819772804Os6D1_JPEG%2F1646819706848.jpg ,
한림/협재,협재칼국수,제주 제주시 한림읍 협재로 3,0507-1335-8107,"월
09:00 - 19:00
16:00 - 17:00 브레이크타임
18:30 라스트오더
화
09:00 - 19:00
16:00 - 17:00 브레이크타임
18:30 라스트오더
수
09:00 - 19:00
16:00 - 17:00 브레이크타임
18:30 라스트오더
목(7/21)
휴무
금
09:00 - 19:00
16:00 - 17:00 브레이크타임
18:30 라스트오더
토
09:00 - 19:00
16:00 - 17:00 브레이크타임
18:30 라스트오더
일
09:00 - 19:00
16:00 - 17:00 브레이크타임
18:30 라스트오더","15,000",가능,한식,"소형견 캐리어 동반
매장출입가능",보말칼국수와 문어숙회가 맛있는 협재칼국수,https://naver.me/GFpe4Ry4,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210411_67%2F1618112831225K1PhM_JPEG%2F2dHwChBUXpCUQOoOCCEMUccN.jpg,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220313_236%2F1647162914575Kaq30_JPEG%2FD17B57BB-D024-4B1F-9923-4238C3B9A731.jpeg,
