area,name,address,phoneNumber,businessHours,priceType3,priceType2,priceType1,toiletYn,"
BreakfastYn",partyYn,Subtitle,naverlink,url1,url2
제주시,제주공항게스트하우스 웨이브사운드,제주 제주시 관덕로8길 24,0507-1328-0713,"입실 17:00
퇴실 12:00","15,000 ~ 25,000","40,000","30,000",O,X,O,매일 밤 클럽 파티를 즐길 수 있는 게스트하우스,http://naver.me/GMRWkpxL,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210908_108%2F1631034411484UFvVl_JPEG%2FKakaoTalk_20210908_015016746_02.jpg,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220428_202%2F16511303462730GbG9_JPEG%2FKakaoTalk_20220428_161615901.jpg
애월,제주도게스트하우스파티 한담누리,제주 제주시 애월읍 일주서로 6158,0507-1448-4440,"입실 17:00
퇴실 10:00","25,000 ~ 30,000","65,000 ~ 75,000",X,O,X,O,애월 카페거리와 가까운 파티형 게스트하우스,http://naver.me/GNyvKejp,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160207_82%2F1454810790665mlc7N_JPEG%2F176157513649968_3.jpeg,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190116_90%2F15476261210858YDfY_JPEG%2FXKFXyABchMtGfJFZdbsmgbaE.jpg
서귀포/중문,백패커스홈,제주 서귀포시 중정로 24-7 1층,0507-1444-4009,"입실 16:00
퇴실 11:00","24,000 ~ 28,000","59,000","45,000",O,O,O,바베큐 파티를 즐길 수 있는 편백나무로 만들어진 게스트하우스,http://naver.me/GxOR6KgO,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211210_186%2F16391376563571tGXK_JPEG%2F%25BA%25B8%25C1%25A4%25BA%25BB_%25BA%25CE%25B4%25EB%25BD%25C3%25BC%25B3_5%25C3%25FE_%25B7%25E7%25C7%25C1%25C5%25BE_%25C0%25FA%25B3%25E1_%25281%2529.jpg,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211116_64%2F1637019872850rTHoG_JPEG%2F%25282021%2529_%25C7%25C1%25B8%25AE%25B9%25CC%25BE%25F6%25B4%25F5%25BA%25ED%25B7%25EB_407%25C8%25A3_7.jpg
서귀포/중문,미도호스텔,제주 서귀포시 동문동로 13-1 미도호스텔 게스트하우스,0507-1303-7627,"입실 16:00
퇴실 11:00","23,000  ~ 27,000","60,000~66,000","49,000",O,O,X,서귀포 유명 맛집과 가까운 게스트하우스,http://naver.me/FmgVhRKE,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20171201_68%2F1512059878520zxPhQ_JPEG%2F2.jpg,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201202_41%2F1606902363546n00K7_JPEG%2FCtxUslzMmjgtX2uivC0_gPWq.jpg
서귀포/중문,제주도게스트하우스파티 간장남들,제주 서귀포시 안덕면 사계북로41번길 30,010-9375-9219,"입실 18:00
퇴실 12:00","30,000","65,000 ~ 100,000",X,O,X,O,DJ 파티와 수영장 풀파티가 있는 게스트하우스,http://naver.me/F8KnKkS99,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201228_247%2F1609147753246WDtFS_JPEG%2FPoZyixut4yGY7QGspCdODmSZ.jpg,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210202_64%2F1612269399183rLjvg_JPEG%2FcKLYtPSOTQmJQy4RkyF3AzOS.jpg
한라산 지구,한라산게스트하우스,제주 제주시 제주대학로 77,0507-1325-6198,"입실 17:00
퇴실 10:00","75,000 ~ 85,000","55,000 ~ 65,000","45,000 ~ 55,000",O,X,X,한라산 탐방 시 필요한 물품을 대여해주는 게스트하우스,http://naver.me/xfaR5bXP,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201019_70%2F1603078460769y1p7w_JPEG%2FHB1-yS9NFsG4rApfP_ZDPSW5.jpg,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200305_274%2F15834027820353zRxc_JPEG%2Fo6ignVScqQ1UJJS4-N_TXrSb.jpg
한라산 지구,또랑게스트하우스,제주 제주시 한북로 338,010-9282-2823,"입실 16:00
퇴실 10:00","27,000~30,000",X,X,X,O,X,한라산 무료 픽업 서비스와 등산 장비를 제공하는 게스트하우스,http://naver.me/GyeyVRy9,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20171205_181%2F1512442766105FyKCQ_PNG%2F%25A5%25EB.png,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20171205_7%2F1512442766894xxKUK_JPEG%2FKakaoTalk_20171128_134108041.jpg
제주시,위캔드히피 게스트하우스,제주 제주시 조천읍 선진안길 21,0507-1332-3965,"입실 17:00
퇴실 11:00","25,000","70,000",X,O,X,X,조용한 분위기에서 게스트파티를 즐길 수 있는 곳,http://naver.me/G3JXmfd7,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220607_170%2F1654567787011IIBol_JPEG%2F92F1213F-74F9-4D75-A0E8-940340FA4E9E.jpeg,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190704_276%2F1562225653835XTpvl_JPEG%2FIMG_2818.jpg
우도,초원게스트하우스&카페,제주 제주시 우도면 우도로 225 1층 초원게스트하우스&카페,0507-1414-6911,"입실 14:00
퇴실 10:00","30,000","60,000 ~ 80,000",X,O,O,X,우도 중심 언덕에 위치한 전망 좋은 게스트하우스,http://naver.me/FNmkE24j,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180102_51%2F1514861970266zpK2l_JPEG%2FmpE0sQkCaEZwGV4W9-Ipx_Jz.jpg,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180102_13%2F1514861985388HoAX8_JPEG%2FjTz0UeTNX-_63nUM8ZR05dw6.jpg
성산,성산 스테이션,제주 서귀포시 성산읍 성산중앙로 43,0507-1411-4201,"입실 16:00
퇴실 11:00","24,900","54,900 ~ 74,900","49,900 ~ 54,900",O,X,X,성산일출봉 정류장 근처 감성 숙소,http://naver.me/GJrFlNvb,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201203_210%2F16070040064143B9YW_JPEG%2FJP-w3WqXsGyv2xKBAOZr6kpO.jpg,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201203_199%2F1607003975857aBGSk_JPEG%2FwGeUeqTXtsIEbUxp2_mFaIZ7.jpg
